,company_name,job_title,posted_time,level,type,salary_range,requirements
0,Microsoft,Data Analyst,2 days ago,Not Applicable,Not Applicable,"$83,400.00/yr - $183,000.00/yr","Security represents the most critical priorities for our customers in a world awash in digital threats, regulatory scrutiny, and estate complexity. Microsoft Security aspires to make the world a safer place for all. We want to reshape security and empower every user, customer, and developer with a security cloud that protects them with end to end, simplified solutions. The Microsoft Security organization accelerates Microsoft’s mission and bold ambitions to ensure that our company and industry is securing digital technology platforms, devices, and clouds in our customers’ heterogeneous environments, as well as ensuring the security of our own internal estate. Our culture is centered on embracing a growth mindset, a theme of inspiring excellence, and encouraging teams and leaders to bring their best each day. In doing so, we create life-changing innovations that impact billions of lives around the world.We are looking for an experienced Data Analyst to develop presentations using dashboards, reports, data visualizations, and more to tell stories of analyses. As you do so, you’ll ensure presentations provide information accurately, clearly, and appropriately.Microsoft’s mission is to empower every person and every organization on the planet to achieve more. As employees we come together with a growth mindset, innovate to empower others, and collaborate to realize our shared goals. Each day we build on our values of respect, integrity, and accountability to create a culture of inclusion where everyone can thrive at work and beyond.In alignment with our Microsoft values, we are committed to cultivating an inclusive work environment for all employees to positively impact our culture every day.ResponsibilitiesAs you develop an understanding of the business across multiple areas, you’ll anticipate business problems. You’ll also use appropriate data to address business needs, identifying and taking steps to solve data issues and gaps.You will determine appropriate analytical tools and techniques, then execute analyses and make actionable recommendations. You’ll also critically evaluate assumptions about data and analysis methods, and provide feedback on analytical tools.You will determine the factors and/or data types to include in evaluations, accounting for risks. You’ll analyze and report results, and identify relevant recommendations and/or connections to other work.By working across teams, you’ll deepen expertise in data sources, methodologies, tools, and processes. You’ll then recommend efficiency improvements to core analytical and reporting work, and evaluate the viability of automated reporting and analysis methods.QualificationsRequired Qualifications:Bachelor's Degree in Statistics, Mathematics, Analytics, Engineering, Computer Science, Marketing, Business, Economics or related field AND 2+ years experience in data analysis and reporting, business intelligence, or business and financial analysisOR Master’s Degree in Mathematics, Analytics, Engineering, Computer Science, Marketing, Business, Economics or related fieldOR equivalent experienceOther RequirementsAbility to meet Microsoft, customer and/or government security screening requirements are required for this role. These requirements include, but are not limited to the following specialized security screenings: This position will be required to pass the Microsoft Cloud background check upon hire/transfer and every two years thereafter.Preferred Qualifications Experience with data analytics and reporting tools, including PowerBI. Familiarity with MS OfficeData Analytics IC3 - The typical base pay range for this role across the U.S. is USD $83,400 - $167,800 per year. There is a different range applicable to specific work locations, within the San Francisco Bay area and New York City metropolitan area, and the base pay range for this role in those locations is USD $108,900 - $183,000 per year.Certain roles may be eligible for benefits and other compensation. Find additional benefits and pay information here: https://careers.microsoft.com/us/en/us-corporate-payMicrosoft will accept applications for the role until November 12, 2024.#MSFTSecurity #SWE24 #CISOSecurityMicrosoft is an equal opportunity employer. Consistent with applicable law, all qualified applicants will receive consideration for employment without regard to age, ancestry, citizenship, color, family or medical care leave, gender identity or expression, genetic information, immigration status, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran or military status, race, ethnicity, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable local laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application process, read more about requesting accommodations."
1,PRIME,Sr. Data Analyst,1 week ago,Mid-Senior level,Mid-Senior level,,"Our CompanyCongo Brands is at the epicenter of where consumer demand meets product development. Through brand partnerships with lead influencers, we are afforded an inside look at what consumers truly desire. Congo Brands is a health and wellness brand that sells supplements, fitness snacks, hydration drinks, energy drinks, and more through e-commerce and retail partnerships. Congo Brands houses some of the world's most noted brands including Alani Nu, Prime Hydration, and 3D Energy. Congo Brands is on pace to become one of the world's most noted consumer product companies, with revenue growth increasing exponentially year over year. Congo Brand's goal is to be the go-to ‘Better for You Brand' for everything from ready-to-drink beverages, snacks, supplements and more.The Role Do you live and breathe Power BI? We are looking for a Senior Data Analyst to join our Sales Insights team. You will be responsible for leveraging data to provide strategic insights that guide our business decisions across our brands. You will collect, analyze, and help visualize data to uncover trends, identify opportunities, and solve complex problems. This Senior Data Analyst will work closely with various teams to understand their data needs and deliver actionable insights through interactive Power BI dashboards and reports. Deliver accurate, consistent, and timely reports for internal stakeholders.  Develop and design interactive Power BI reports and dashboards to support business decision-making.  Collect, clean, maintain, analyze, and interpret complex data sets to inform business decision-making.  Collaborate with cross-functional teams to build and automate dashboards from multiple data sources.  Pro-actively create and investigate hypotheses about brands, conversations or audiences that lead to new insights or projects.  Develop diverse data analysis methodologies and produce analytical reports during regular operations and peak periods, deeply analyze and identify business issues, opportunities, and breakthroughs, and collaborate on horizontal optimization.  Continuously improve analytical techniques and toolsets for more efficient problem-solving.  Create and maintain data models, DAX queries, and Power BI datasets.  Troubleshoot and resolve issues related to Power BI reports and data connectivity.  Stay updated with the latest Power BI features, best practices, and industry trends.  Provide training and support to end-users on Power BI tools and functionalities.  Ensure data security and compliance with organizational policies and regulations.  Requirements Bachelor's degree in computer science, Information Technology, related field or working experience.  PL-300 Certification an asset Proven experience as a Power BI Analyst/Developer or in a similar role for at least 3 years.  Expert level proficiency in Power BI, including data modeling, DAX, and Power Query.  Experience with SQL and data warehousing concepts.  Familiarity with data visualization best practices and principles.  Proven experience in optimizing the performance of Power BI reports and dashboards, including data model tuning, efficient DAX query writing, and ensuring optimal data load times.  Strong communication and collaboration abilities.  Ability to manage multiple tasks and projects simultaneously.  Knowledge of other BI tools (e.g., Tableau, Qlik) is a plus.  Experience with cloud platforms (e.g., Azure) is an advantage.  Proven experience consolidating and analyzing data sources to create insightful business intelligence.  Excellent problem solving, critical thinking and analytical skills.  Strong attention to detail, superior organizational and time management skills.  Ability to support team members and take direction from senior team members and management.  Excellent written and verbal communication skills.  Demonstrated sense of curiosity and ability to ask the right questions.  Growth mindset, a willingness to learn to improve and sharpen skillsets.  Benefits Competitive Salary Health/Vision/Dental Benefits 15 days of PTO + 8 paid holidays 6 weeks paid parental leave 401K plan with employer match Monthly cell phone stipend AND SO MUCH MORE!   Congo Brands, LLC. is an Equal Opportunity Employer, and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, veteran status, age, or any other classification protected by Federal, state, or local law. #PRIME"
2,LinkedIn,Senior Insights Analyst,2 days ago,Mid-Senior level,Mid-Senior level,,"Company DescriptionLinkedIn is the world’s largest professional network, built to create economic opportunity for every member of the global workforce. Our products help people make powerful connections, discover exciting opportunities, build necessary skills, and gain valuable insights every day. We’re also committed to providing transformational opportunities for our own employees by investing in their growth. We aspire to create a culture that’s built on trust, care, inclusion, and fun – where everyone can succeed.Join us to transform the way the world works.Job DescriptionThis role will be based in Chicago, New York City, San Francisco, Mountain View or Sunnyvale.At LinkedIn, we trust each other to do our best work where it works best for us and our teams. This role offers a hybrid work option, meaning you can both work from home and commute to a LinkedIn office, depending on what’s best for you and when it is important for your team to be together.As a Sr. Insights Analyst, you will leverage one of the richest proprietary data sets in the world to discover insights that help our advertising sales team serve our clients and agencies. To be successful in this role you need to be highly analytical, with a strong intellectual curiosity and be comfortable responding to and structuring ambiguous requests. You will also have a passion for querying databases in SQL or have comparable technical skills. You must be able to juggle multiple tasks in a fast-paced environment and work with sales teams to figure out exactly what is impactful to clients. Your stakeholders will not always know what is possible, so it is important that you ask effective questions to get clarity in addition to managing expectations on what you can deliver.Key responsibilities in this client-facing role include conducting custom analyses, preparing and delivering client and agency presentations, providing consultative advice to LinkedIn’s top sales reps and responding to client and agency requests. You will become an expert at using coding languages to extract data from LinkedIn’s massive data warehouse and turning that data into compelling stories that help our clients become more successful. Responsibilities:Leverage LinkedIn’s unique data to create innovative, custom analyses and tools to address business challenges Write SQL/Hive/Pig/Python queries to extract necessary data, analyze the results to generate actionable insights and present the findings either in Tableau, Excel or PowerPoint Understand LinkedIn’s marketing ecosystem and bring new ideas in social media analytics and measurement to market that help end-clients make better marketing decisions Collaborate closely with the sales, marketing, product and insights teams to provide analysis, reporting and tool-building capabilities that inform our key stakeholders Build cross-functional relationships and partner effectively with other teams for collaborative opportunities Develop scalable and repeatable playbooks/narratives for internal and external stakeholders Develop custom analyses narratives to help our clients and prospects better understand the value of LinkedIn data as related to digital marketing Serve as a strategic advisor to internal and external stakeholders as it pertains to data usage, insights, and measurement Travel requirements: approximately 10% of the time for team offsite, LinkedIn conferences, and client meetings. QualificationsBasic Qualifications:Bachelor’s degree 5+ years of experience in an analytics or consulting role Experience analyzing data in SQL, Excel, SAS or other similar software Experience building visualizations with data Preferred Qualifications:2+ years of experience in digital marketing analytics Experience with Tableau Experience with data analysis and storytelling Ability to communicate findings clearly to both technical and non-technical audiences Excellent interpersonal, communication, writing, presentation, statistical and data analysis skills Experience with big data technologies like Hadoop Experience of working with agencies and a familiarity with the media agency landscape Expert knowledge of MS Office (Outlook, Word, PowerPoint and Excel) Suggested Skills:Digital Marketing Performance Marketing Data Analysis Data Storytelling LinkedIn is committed to fair and equitable compensation practices.The pay range for this role is $102,00 to $160,00. Actual compensation packages are based on several factors that are unique to each candidate, including but not limited to skill set, depth of experience, certifications, and specific work location. This may be different in other locations due to differences in the cost of labor.The total compensation package for this position may also include annual performance bonus, stock, benefits and/or other applicable incentive compensation plans. For more information, visit https://careers.linkedin.com/benefits.Additional InformationEqual Opportunity StatementLinkedIn is committed to diversity in its workforce and is proud to be an equal opportunity employer. LinkedIn considers qualified applicants without regard to race, color, religion, creed, gender, national origin, age, disability, veteran status, marital status, pregnancy, sex, gender expression or identity, sexual orientation, citizenship, or any other legally protected class. LinkedIn is an Affirmative Action and Equal Opportunity Employer as described in our equal opportunity statement here: EEO Statement_2020 - Signed.pdf.Please reference the following information for more information: https://www.eeoc.gov/sites/default/files/2023-06/22-088_EEOC_KnowYourRights6.12ScreenRdr.pdf andhttps://www.dol.gov/ofccp/regs/compliance/posters/pdf/OFCCP_EEO_Supplement_Final_JRF_QA_508c.pdf for more information.LinkedIn is committed to offering an inclusive and accessible experience for all job seekers, including individuals with disabilities. Our goal is to foster an inclusive and accessible workplace where everyone has the opportunity to be successful.If you need a reasonable accommodation to search for a job opening, apply for a position, or participate in the interview process, connect with us at accommodations@linkedin.com and describe the specific accommodation requested for a disability-related limitation.Reasonable accommodations are modifications or adjustments to the application or hiring process that would enable you to fully participate in that process. Examples of reasonable accommodations include but are not limited to:Documents in alternate formats or read aloud to youHaving interviews in an accessible locationBeing accompanied by a service dogHaving a sign language interpreter present for the interviewA request for an accommodation will be responded to within three business days. However, non-disability related requests, such as following up on an application, will not receive a response.LinkedIn will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by LinkedIn, or (c) consistent with LinkedIn's legal duty to furnish information.San Francisco Fair Chance Ordinance Pursuant to the San Francisco Fair Chance Ordinance, LinkedIn will consider for employment qualified applicants with arrest and conviction records.Pay Transparency Policy Statement As a federal contractor, LinkedIn follows the Pay Transparency and non-discrimination provisions described at this link: https://lnkd.in/paytransparency.Global Data Privacy Notice for Job Candidates Please follow this link to access the document that provides transparency around the way in which LinkedIn handles personal data of employees and job applicants: https://legal.linkedin.com/candidate-portal."
3,Genpact,Business Data Analyst,2 days ago,Mid-Senior level,Mid-Senior level,,"Genpact (NYSE: G) is a global professional services and solutions firm delivering outcomes that shape the future. Our 125,000+ people across 30+ countries are driven by our innate curiosity, entrepreneurial agility, and desire to create lasting value for clients. Powered by our purpose - the relentless pursuit of a world that works better for people - we serve and transform leading enterprises, including the Fortune Global 500, with our deep business and industry knowledge, digital operations services, and expertise in data, technology, and AI.Inviting applications for the role of Business Data AnalystLocation: Toronto Canada ( 3 days onsite/week)Skills:Understanding the process of auto ingestion and its validationBuilding a strategic platform on Azure from the legacy systemsExperience in Data mapping and doing it in a more efficient way and if anything has been done wrong in the source system then get it correctedAnalyse the data what is being done today and how it can be further improved for futureStreamline the data so that it can be used simultaneously at multiple placesMake sure data completion and data accuracy checks have been done on datasets bringing out to cloud platformsExperience in SQL server and PySpark as legacy system has SQL and strategic platform has PySparkExperience working in confluenceExperience working on Azure DatabricksTech stacks for legacy and strategic platform are as below:Legacy Systems Storage - SQLETL - SSIS, Stored ProceduresData type – most batch (ASCII and EBCIDIC)Strategic SystemStorage - ADLS Gen2, Azure SQLETL – Azure DatabricksUI – AngularAPI layer – SpringData Type - both batch (ASCII, EBCIDIC) and Real Time (Kafka, Azure Event hubs)Genpact is an Equal Opportunity Employer and considers applicants for all positions without regard to race, color, religion or belief, sex, age, national origin, citizenship status, marital status, military/veteran status, genetic information, sexual orientation, gender identity, physical or mental disability or any other characteristic protected by applicable laws. Genpact is committed to creating a dynamic work environment that values diversity and inclusion, respect and integrity, customer focus, and innovation. Get to know us at www.genpact.com and on X, Facebook, LinkedIn, and YouTube.Furthermore, please do note that Genpact does not charge fees to process job applications and applicants are not required to pay to participate in our hiring process in any other way. Examples of such scams include purchasing a 'starter kit,' paying to apply, or purchasing equipment or training."
4,PRIME,Sr. Data Analyst,1 week ago,Mid-Senior level,Mid-Senior level,,"Our CompanyCongo Brands is at the epicenter of where consumer demand meets product development. Through brand partnerships with lead influencers, we are afforded an inside look at what consumers truly desire. Congo Brands is a health and wellness brand that sells supplements, fitness snacks, hydration drinks, energy drinks, and more through e-commerce and retail partnerships. Congo Brands houses some of the world's most noted brands including Alani Nu, Prime Hydration, and 3D Energy. Congo Brands is on pace to become one of the world's most noted consumer product companies, with revenue growth increasing exponentially year over year. Congo Brand's goal is to be the go-to ‘Better for You Brand' for everything from ready-to-drink beverages, snacks, supplements and more.The Role Do you live and breathe Power BI? We are looking for a Senior Data Analyst to join our Sales Insights team. You will be responsible for leveraging data to provide strategic insights that guide our business decisions across our brands. You will collect, analyze, and help visualize data to uncover trends, identify opportunities, and solve complex problems. This Senior Data Analyst will work closely with various teams to understand their data needs and deliver actionable insights through interactive Power BI dashboards and reports. Deliver accurate, consistent, and timely reports for internal stakeholders.  Develop and design interactive Power BI reports and dashboards to support business decision-making.  Collect, clean, maintain, analyze, and interpret complex data sets to inform business decision-making.  Collaborate with cross-functional teams to build and automate dashboards from multiple data sources.  Pro-actively create and investigate hypotheses about brands, conversations or audiences that lead to new insights or projects.  Develop diverse data analysis methodologies and produce analytical reports during regular operations and peak periods, deeply analyze and identify business issues, opportunities, and breakthroughs, and collaborate on horizontal optimization.  Continuously improve analytical techniques and toolsets for more efficient problem-solving.  Create and maintain data models, DAX queries, and Power BI datasets.  Troubleshoot and resolve issues related to Power BI reports and data connectivity.  Stay updated with the latest Power BI features, best practices, and industry trends.  Provide training and support to end-users on Power BI tools and functionalities.  Ensure data security and compliance with organizational policies and regulations.  Requirements Bachelor's degree in computer science, Information Technology, related field or working experience.  PL-300 Certification an asset Proven experience as a Power BI Analyst/Developer or in a similar role for at least 3 years.  Expert level proficiency in Power BI, including data modeling, DAX, and Power Query.  Experience with SQL and data warehousing concepts.  Familiarity with data visualization best practices and principles.  Proven experience in optimizing the performance of Power BI reports and dashboards, including data model tuning, efficient DAX query writing, and ensuring optimal data load times.  Strong communication and collaboration abilities.  Ability to manage multiple tasks and projects simultaneously.  Knowledge of other BI tools (e.g., Tableau, Qlik) is a plus.  Experience with cloud platforms (e.g., Azure) is an advantage.  Proven experience consolidating and analyzing data sources to create insightful business intelligence.  Excellent problem solving, critical thinking and analytical skills.  Strong attention to detail, superior organizational and time management skills.  Ability to support team members and take direction from senior team members and management.  Excellent written and verbal communication skills.  Demonstrated sense of curiosity and ability to ask the right questions.  Growth mindset, a willingness to learn to improve and sharpen skillsets.  Benefits Competitive Salary Health/Vision/Dental Benefits 15 days of PTO + 8 paid holidays 6 weeks paid parental leave 401K plan with employer match Monthly cell phone stipend AND SO MUCH MORE!   Congo Brands, LLC. is an Equal Opportunity Employer, and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, veteran status, age, or any other classification protected by Federal, state, or local law. #PRIME"
5,PRIME,Sr. Data Analyst,1 week ago,Mid-Senior level,Mid-Senior level,,"Our CompanyCongo Brands is at the epicenter of where consumer demand meets product development. Through brand partnerships with lead influencers, we are afforded an inside look at what consumers truly desire. Congo Brands is a health and wellness brand that sells supplements, fitness snacks, hydration drinks, energy drinks, and more through e-commerce and retail partnerships. Congo Brands houses some of the world's most noted brands including Alani Nu, Prime Hydration, and 3D Energy. Congo Brands is on pace to become one of the world's most noted consumer product companies, with revenue growth increasing exponentially year over year. Congo Brand's goal is to be the go-to ‘Better for You Brand' for everything from ready-to-drink beverages, snacks, supplements and more.The Role Do you live and breathe Power BI? We are looking for a Senior Data Analyst to join our Sales Insights team. You will be responsible for leveraging data to provide strategic insights that guide our business decisions across our brands. You will collect, analyze, and help visualize data to uncover trends, identify opportunities, and solve complex problems. This Senior Data Analyst will work closely with various teams to understand their data needs and deliver actionable insights through interactive Power BI dashboards and reports. Deliver accurate, consistent, and timely reports for internal stakeholders.  Develop and design interactive Power BI reports and dashboards to support business decision-making.  Collect, clean, maintain, analyze, and interpret complex data sets to inform business decision-making.  Collaborate with cross-functional teams to build and automate dashboards from multiple data sources.  Pro-actively create and investigate hypotheses about brands, conversations or audiences that lead to new insights or projects.  Develop diverse data analysis methodologies and produce analytical reports during regular operations and peak periods, deeply analyze and identify business issues, opportunities, and breakthroughs, and collaborate on horizontal optimization.  Continuously improve analytical techniques and toolsets for more efficient problem-solving.  Create and maintain data models, DAX queries, and Power BI datasets.  Troubleshoot and resolve issues related to Power BI reports and data connectivity.  Stay updated with the latest Power BI features, best practices, and industry trends.  Provide training and support to end-users on Power BI tools and functionalities.  Ensure data security and compliance with organizational policies and regulations.  Requirements Bachelor's degree in computer science, Information Technology, related field or working experience.  PL-300 Certification an asset Proven experience as a Power BI Analyst/Developer or in a similar role for at least 3 years.  Expert level proficiency in Power BI, including data modeling, DAX, and Power Query.  Experience with SQL and data warehousing concepts.  Familiarity with data visualization best practices and principles.  Proven experience in optimizing the performance of Power BI reports and dashboards, including data model tuning, efficient DAX query writing, and ensuring optimal data load times.  Strong communication and collaboration abilities.  Ability to manage multiple tasks and projects simultaneously.  Knowledge of other BI tools (e.g., Tableau, Qlik) is a plus.  Experience with cloud platforms (e.g., Azure) is an advantage.  Proven experience consolidating and analyzing data sources to create insightful business intelligence.  Excellent problem solving, critical thinking and analytical skills.  Strong attention to detail, superior organizational and time management skills.  Ability to support team members and take direction from senior team members and management.  Excellent written and verbal communication skills.  Demonstrated sense of curiosity and ability to ask the right questions.  Growth mindset, a willingness to learn to improve and sharpen skillsets.  Benefits Competitive Salary Health/Vision/Dental Benefits 15 days of PTO + 8 paid holidays 6 weeks paid parental leave 401K plan with employer match Monthly cell phone stipend AND SO MUCH MORE!   Congo Brands, LLC. is an Equal Opportunity Employer, and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, veteran status, age, or any other classification protected by Federal, state, or local law. #PRIME"
6,PRIME,Sr. Data Analyst,1 week ago,Mid-Senior level,Mid-Senior level,,"Our CompanyCongo Brands is at the epicenter of where consumer demand meets product development. Through brand partnerships with lead influencers, we are afforded an inside look at what consumers truly desire. Congo Brands is a health and wellness brand that sells supplements, fitness snacks, hydration drinks, energy drinks, and more through e-commerce and retail partnerships. Congo Brands houses some of the world's most noted brands including Alani Nu, Prime Hydration, and 3D Energy. Congo Brands is on pace to become one of the world's most noted consumer product companies, with revenue growth increasing exponentially year over year. Congo Brand's goal is to be the go-to ‘Better for You Brand' for everything from ready-to-drink beverages, snacks, supplements and more.The Role Do you live and breathe Power BI? We are looking for a Senior Data Analyst to join our Sales Insights team. You will be responsible for leveraging data to provide strategic insights that guide our business decisions across our brands. You will collect, analyze, and help visualize data to uncover trends, identify opportunities, and solve complex problems. This Senior Data Analyst will work closely with various teams to understand their data needs and deliver actionable insights through interactive Power BI dashboards and reports. Deliver accurate, consistent, and timely reports for internal stakeholders.  Develop and design interactive Power BI reports and dashboards to support business decision-making.  Collect, clean, maintain, analyze, and interpret complex data sets to inform business decision-making.  Collaborate with cross-functional teams to build and automate dashboards from multiple data sources.  Pro-actively create and investigate hypotheses about brands, conversations or audiences that lead to new insights or projects.  Develop diverse data analysis methodologies and produce analytical reports during regular operations and peak periods, deeply analyze and identify business issues, opportunities, and breakthroughs, and collaborate on horizontal optimization.  Continuously improve analytical techniques and toolsets for more efficient problem-solving.  Create and maintain data models, DAX queries, and Power BI datasets.  Troubleshoot and resolve issues related to Power BI reports and data connectivity.  Stay updated with the latest Power BI features, best practices, and industry trends.  Provide training and support to end-users on Power BI tools and functionalities.  Ensure data security and compliance with organizational policies and regulations.  Requirements Bachelor's degree in computer science, Information Technology, related field or working experience.  PL-300 Certification an asset Proven experience as a Power BI Analyst/Developer or in a similar role for at least 3 years.  Expert level proficiency in Power BI, including data modeling, DAX, and Power Query.  Experience with SQL and data warehousing concepts.  Familiarity with data visualization best practices and principles.  Proven experience in optimizing the performance of Power BI reports and dashboards, including data model tuning, efficient DAX query writing, and ensuring optimal data load times.  Strong communication and collaboration abilities.  Ability to manage multiple tasks and projects simultaneously.  Knowledge of other BI tools (e.g., Tableau, Qlik) is a plus.  Experience with cloud platforms (e.g., Azure) is an advantage.  Proven experience consolidating and analyzing data sources to create insightful business intelligence.  Excellent problem solving, critical thinking and analytical skills.  Strong attention to detail, superior organizational and time management skills.  Ability to support team members and take direction from senior team members and management.  Excellent written and verbal communication skills.  Demonstrated sense of curiosity and ability to ask the right questions.  Growth mindset, a willingness to learn to improve and sharpen skillsets.  Benefits Competitive Salary Health/Vision/Dental Benefits 15 days of PTO + 8 paid holidays 6 weeks paid parental leave 401K plan with employer match Monthly cell phone stipend AND SO MUCH MORE!   Congo Brands, LLC. is an Equal Opportunity Employer, and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, veteran status, age, or any other classification protected by Federal, state, or local law. #PRIME"
7,Grupo Modelo S.A. de C.V.,Analista de datos,3 days ago,Associate,Associate,,"Grupo Modelo es líder en la elaboración, distribución y venta de cerveza en México Nos enorgullece ser una empresa que ha traspasado fronteras con sus productos. Todo esto gracias a las 30,969 personas que colaboran en esta gran compañía. Hoy forma parte de AB-InBev, la compañía cervecera más grande del mundo. Te invitamos a participar en la vacante de: Analista de Gestión de FlotaRequisitos: Escolaridad Licenciatura en logística, finanzas, contabilidad o afín. Años y área de experiencia 1 año de experiencia en áreas de logística y transportes, facturación y seguimiento de combustibles. Idioma Inglés intermedio-avanzado. Conocimientos técnicos Conocimientos en Office Excel intermedio y manejo de Power BI. Competencias Capacidad de análisis de información, proactivo, actitud de mejora continua, resiliente y comunicación efectiva. Lugar de trabajo Azcapotzalco Propósito y actividades del puesto: -Análisis, interpretación y monitoreo de las bases de datos para identificar procesos de mejora. - Seguimiento a KPI de rendimiento y performance de uso de combustible. - Extracción de datos e interpretación de los mismos. - Manejo de plataforma para la gestión de flota."
8,CAVA,Data Customer Insights Analyst,2 days ago,Associate,Associate,"$82,500.00/yr - $129,500.00/yr","About CAVA:At CAVA we make it deliciously simple to eat well and feel good every day. We are guided by a Mediterranean heritage that’s been perfecting how to eat and live for four thousand years. We prioritize authenticity, curiosity and the pursuit of excellence in everything we do. We are working towards something big, together.We foster a culture built on five core values: Generosity First, Always: We lead with kindness. Our best work happens when we act in service of others.Constant Curiosity: We are eager to learn, grow, and explore beyond the obvious.Act with Agility: We welcome change; it’s the only constant. We embrace, adjust, adapt.Passion for Positivity: We greet each day with warmth and possibility.Collective Ambition: We have high aspirations that are achieved when we work together with a shared purpose.The Role:We are seeking a highly motivated and analytical Customer Insights Analyst to help drive analysis, strategy, and reporting – fueling customer related initiatives across the business. This position will report to the Customer Analytics Manager and requires a unique balance of strong technical skills and ability to synthesize results + creatively propose business solutions.What You’ll Do:Play a technical and strategic role in driving all things customer insights and analytics while partnering internally to evaluate the success of customer initiativesOwn discrete analyses focused on but not limited to: CAVA’s loyalty program, personalization tactics, customer lifecycle (CLV, churn, etc.), customer preferences, and much moreDevelop and apply research methodologies that align with key strategic goals across different stages of the customer lifecycleSupport design, creation, and publication of reports and dashboards for enterprise consumptionCreate compelling visualizations using advanced analytics tools and tell revealing stories about the CAVA customerSupport the development and calculation of key KPIs to evaluate the success of customer initiatives and campaignsGet to know the customer inside and out and generate creative ideas on how to better serve the customer that can be tested empirically through dataAdvise on data-driven ways to segment the customer base in order to track and measure success of initiatives by customer cohortPackage strategic and analytical insights into clear, concise, and stakeholder ready presentationsAbide by policies and procedures that support the service mindsetManage timeline expectations within and across teams, deliver on our responsibilities accordinglyEarn the trust of Team Members and Managers by consistently embracing CAVA’s valuesShow discipline in bringing consistent performance, communication, and attitude to the job every dayActively contribute to your department in order to complete tasks and meet company goalsRecognize the emotional stake each Team Member has in personal and organizational success of this businessThe Qualifications:1-3 years of professional experience working as a data analyst with a focus on strategic insights, either in consulting or at a consumer-facing companyHands on and demonstrable experience working with large-scale data setsHighly proficient in Excel – both manipulation and presentation of dataHighly proficient in SQL – data manipulation, aggregation, calculationsHighly proficient in PowerPoint – efficient and compelling slide creationExperience with popular data visualization tools such as Tableau, Power BI, and LookerExperience with common relational databases such as SQL DB, Redshift, SnowflakePreferred: proficiency in Python or R for automation, statistical analysis, and data manipulationPreferred: Bachelor’s DegreePhysical Requirements: Ability to maintain stationary position to be able to operate a computer and other office equipmentMust be able to identify, analyze and assess detailsFor certain positions, must be able to occasionally move or transport items up to 50 poundsAbility to communicate with others and exchange information accurately and effectivelyConstantly positions self and move about to support ordinary restaurant or food production support or office operations, as applicableAbility to work in a constant state of alertness and in a safe mannerWhat we offer: Competitive salary, plus bonus and long-term incentives*Early Wage Access! Unlimited PTO, paid parental leave, plus paid opportunities to give back to the communityHealth, Dental, Vision, Telemedicine, Pet Insurance plus more!401k enrollment with CAVA contribution Company-paid STD, LTD, Life and AD&D coverage for salaried positions*Free CAVA foodCasual work environmentThe opportunity to be on the ground floor of a rapidly growing brandAll exempt and non-exempt employees are eligible for benefits. Benefits are effective the 1st of the month following 30 days of service and you have until the day before the effective date to enroll. A new hire can enroll in our benefit program by selecting a link that is emailed directly to the new hire at their personal email address once hired.Please note that visa sponsorship is not available. The compensation range posted includes total cash.*Indicates qualifying eligible positions onlyCAVA – Joining “A culture, not a concept”This job description is not intended to be a comprehensive list of all the duties and responsibilities of the position and such duties and responsibilities may change without notice.As an equal opportunity employer, CAVA considers applicants for all positions without regard to race, color, sex, religion, national origin, disability, age, height, weight, marital status, sexual orientation, familial status, genetic information or any other characteristic or protected classes as defined by federal, state, or local law."
9,InterEx Group,Data Analyst,3 days ago,Mid-Senior level,Mid-Senior level,,"The ideal candidate will use their passion for big data and analytics to provide insights to the business covering a range of topics. They will be responsible for conducting both recurring and ad hoc analysis for business users.  ResponsibilitiesUnderstand the day-to-day issues that our business faces, which can be better understood with data Compile and analyze data related to business' issues Develop clear visualizations to convey complicated data in a straightforward fashionQualificationsBachelor's or Master's degree in Statistics or Applied Mathematics or equivalent experience 1 - 2 years' Data Analysis experience Proficient in SQL"
