,title,pp,summary,total_jobs,total_hours,locality,country,perc_job_success,projects,skills_list
0,Data Analyst,$15.00/hr,"Hello! I am a highly skilled data analyst with a passion for turning data into insights and actionable solutions. With a strong background in data analysis, statistical modeling, and data visualization, I have the expertise to tackle complex problems and deliver meaningful insights to drive business growth.

I have extensive experience working with various industries, including healthcare, finance, retail, and technology. My skills include using tools such as R,  Python,SAS,  SQL, Shiny, PowerBi and Tableau to manipulate and analyze large data sets, as well as presenting findings in a clear and compelling manner.

I am a self-starter and enjoy working independently, but I am also a strong team player and thrive in a collaborative environment. I am constantly seeking new challenges and opportunities to grow my skills and deliver value to clients.

If you're looking for a data analyst who is dedicated, knowledgeable, and always eager to learn and grow, I would be a great fit for you.

Thank you for considering my profile!",174,277,Tunis,Tunisia,86,"['Pricing exercise', 'Medical Artifical Intellience and Machine Learning Project', 'Infographics/Real Estate Financial Analysis', 'Economics research assistant and data analysis in R', 'SAS project - data processing', '2hrs 125 to 325am presentation saturday', 'Implement code. 3hours 110am to 410am', 'this is for Wednesday approx 1245am to 245am for 2 hours.', 'sql data base power bi', '2 hours', 'SAS work', 'Data Analyst', 'Analyse Critique Case Study', 'Data Analysis and Building Dashboard', 'Sales Analytics Specialist', 'Biostatistics, proportional hazards, using SAS', 'Data Analyst and PowerPoint Presentation', 'Travail de Power Bi (sales analytics)', 'follow up', 'Crop disease classification using deap learning']","['SAS', 'Machine Learning', 'Microsoft Excel', 'IBM SPSS', 'Tableau', 'R', 'Microsoft Power BI', 'SQL', 'Python', 'R Shiny', 'Visual Basic for Applications', 'Statistical Analysis', 'Linear Programming', 'Data Analytics']"
1,Data Analyst and Management Consultant,$8.00/hr,"I have great command over data analytics softwares IBM SPSS, Stata, R studio, Python, PowerBI, Eviews, Gretl, Jamovi, Tableau, NVivo, Splunk and Excel. I can guide you on what model is appropriate for a particular data set e.g. Random effect model and fixed effect model for panel data, OLS for cross-sectional data, Logistic and probit model for dummy dependent variables, ARCH-GARCH for time series data. I can also run various tests e.g. Hausman test to determine whether to use random effect or fixed effect model for a particular data set, White test to determine heteroskedasticity, Durbin Watson test to determine the serial correlation in the data, Paired sample t-test to assess the effect of a medical intervention, ANOVA to test the difference in means and various other tests. I can also remove the problems from the data e.g. I can remove serial correlation through Prais-Winsten Cochrane-Orcutt correction, remove heteroskedasticity through heteroskedasticity robust standard errors etc. I can also make dashboards for your company. Moreover, I can also do assignments related to finance, economics and accounting. In accounting, I have command over management accounting, cost accounting, and financial accounting etc. In finance, I have command over financial statement analysis, investment analysis, derivative analysis, stock price prediction, fundamental and technical analysis etc. In economics, I have command over economic analysis, microeconomics, macroeconomics, and welfare economics etc. Finally, I can also design websites as I am expert in HTML, CSS, and Javascript etc.",800,"1,273",Lahore,Pakistan,93,"['Back-End Development Back-nd Development', 'Regression', 'Regression', 'R studio help', 'Fixing/updating Python sccript', 'Back-End Development', 'Event Study Analysis of Financial Data', 'regression', 'Back-End Development', 'Multiple Project', 'Stock return analysis through Excel', 'R Programmer Needed for Bayesian and Maximum Likelihood Estimation in Competing Risks Data']","['Data Analysis', 'R', 'Python', 'IBM SPSS', 'Stata', 'Microsoft Power BI', 'EViews', 'NVivo', 'Microsoft Excel', 'Analytics Dashboard', 'Economics', 'Finance & Accounting', 'JavaScript', 'HTML', 'CSS']"
2,Excel Google Sheets Expert | Data Analyst | 12 Years Experience,$25.00/hr,"⭐⭐⭐⭐⭐ Top 3% Elite Freelancer
🔥🔥 I LOVE TO PLAY WITH DATA USING FORMULAS, AND CREATING GRAPHS TO MAKE THEM VISUALLY APPEALING 🔥🔥
🔰 Proven Team Manager
🔰 Diverse Skill Set
🔰 Client Satisfaction
🔰 Committed to Long term 

⭐EXCEL: Advanced formula creation, data analysis, and generating insightful reports.

⭐GOOGLE SHEETS: Collaboration, real-time data sharing, and developing visually appealing dashboards.

⭐GRAPHIC DESIGN: Experienced in design, video editing, and video design using Photoshop, and Adobe Illustrator. 

⭐ LOOKER DATA STUDIO: Designed dynamic and interactive dashboards. Integrated disparate data sources for comprehensive insights. Transformed raw data into compelling visual narratives.

⭐AUTOMATION : Proficient in Zapier and Pabley for streamlined processes. Automated repetitive tasks, enhancing operational efficiency.

⭐ POWER POINT  : Transforming data-driven insights into captivating presentations.

⭐RESEARCH TASKS : Identifying target audiences, conducting research, and implementing effective strategies.

⭐Data entry : Meticulous attention to detail, maintaining data integrity, and ensuring data quality.

⭐Lead generation: Proven track record in generating qualified leads and implementing successful strategies.

⭐⭐Email outreach: Crafting persuasive, personalized email campaigns to engage potential clients.

⭐⭐Data collection from websites: Extracting valuable information from various sources for informed decision-making.

➤Strong emphasis on open communication, attention to detail, and meeting deadlines.

➤Dedicated professional focused on delivering exceptional services to contribute to your business's success.


⭐⭐⭐⭐I also excel in lead generation, email outreach, and data collection from websites. I have a proven track record of identifying target audiences, conducting market research, and implementing effective strategies to generate qualified leads. With my skills in data collection and analysis, I can extract valuable information from various sources, ensuring accurate and up-to-date data for informed decision-making.

Here are some examples of what I can do for you:

➤ Develop complex formulas that will allow you to calculate, analyze, and manipulate your data with ease.
➤ Create custom VBA macros that will automate repetitive tasks, saving you time and effort.
➤ Use Google Sheets App Script to automate workflows and integrate with other tools, such as Google Forms and Google Analytics.
➤Design custom trackers and dashboards that will allow you to monitor your KPIs and visualize your data in real time.
➤ Create professional presentations in PowerPoint that will help you communicate your data effectively.

I have worked with clients from various industries, including finance, healthcare, marketing, and education. Some of my past projects include:

➤ Developed a custom inventory management system for a retail company, which reduced inventory errors and increased efficiency.
➤ Creating a financial analysis tool for a healthcare organization, which allowed them to track expenses and revenue in real-time.
➤ Designing a custom sales dashboard for a marketing agency, which helped them identify trends and optimize their sales strategy.

My goal is to help you streamline your data management and unlock the full potential of your data. I am committed to delivering high-quality work that meets your specific needs and exceeds your expectations. Let's work together to achieve your goals - contact me today to discuss your project!",386,"5,736",Udaipur Rajasthan,India,98,"['Connect and update PPT charts and tables from Excel sheets', 'Excel & Data Formatting Specialist', 'Excel & Data Formatting Specialist', 'ChatGPT to Excel Conversion: Excel & Data Formatting Specialist', 'Microsoft Excel Expert', 'Gantt Chart', 'CSV cleaning from 3 millions entries to 1 million', 'Business analyst for a fast-growing startup', 'Cap table', 'Top Sellers', 'Convert Google Sheet to Excel Format', 'To create a template in Google Sheets', 'Advance Excel Template to Revise', 'Excel graph dashboards', 'Bluebot excel project Hourly', 'Project Management Spreadsheet - Client facing', 'Insert dynamic table in Google spreadsheet', 'Snazzy Excel Calculator Creation', 'Google Sheets - Agency Pricing Calculator', 'Help with Production tasks']","['Copy & Paste', 'Microsoft Excel', 'Data Entry', 'Data Visualization', 'Data Analysis', 'Google Apps Script', 'Google Sheets', 'Google Slides', 'Looker', 'Zapier', 'Graphic Design', 'Jira', 'Atlassian Confluence', 'Oracle NetSuite']"
3,Excel Data Analyst Expert  | Power BI Specialist,$10.00/hr,"Hello!

Thank you, that you have visited my profile.As a Data Analyst specializing in Power BI and Excel, I bring a wealth of expertise and experience to your team. With over 180 projects successfully completed on various freelancing platforms, including Upwork, I have a proven track record of delivering high-quality work on time and within budget.

My skills include data analysis, data visualization, dashboard creation, and report generation, all of which are essential for any organization looking to make data-driven decisions. I have a strong understanding of various data analysis techniques and can help your team extract meaningful insights from your data.

In addition to my technical skills, I am a strong communicator and collaborator. I am committed to understanding your business needs and working with you to create customized solutions that meet your specific requirements.

Whether you need help with a one-time project or ongoing support, I am confident that I can deliver the results you are looking for. Let's work together to unlock the full potential of your data and drive your business forward.

Thank you!
Have a nice day",167,"1,179",Karachi,Pakistan,100,"['Excel Data Reporting Specialist Needed', 'Data Analysis & Report', 'Interactive Drill Down Report Creation from Excel Data', 'As Needed', 'Power BI dashboard created from a replaceable csv file', 'Excel Data Matching', 'Facility Grid Advanced Excel Project', 'POWER BI', 'Client Onboarding Status Excel Interactive Dashboard', 'Excel Document Improvement Specialist', 'Excel Pivot for historical forex analysis', 'Clean up data and make organized excel sheet', 'Excel Spreadsheet Enhancement and Data Analytics', 'Data Analyst', 'Real State Sheets (Projections & Calculations)', 'Excel Zoom Participant', 'ATL & CKSC Financials', 'Dashboard Developer for Compliance and Spend Tracking', 'Performance Dashboard', 'Creating a comprehensive business data analysis dashboard']","['Dashboard', 'Data Visualization', 'Microsoft Excel', 'Microsoft Power BI Data Visualization', 'Data Analysis', 'Templates', 'Data Table', 'VLOOKUP', 'Excel Formula', 'Excel Macros', 'Analytics Dashboard', 'Visualization', 'Data Analysis Consultation', 'Data Analytics & Visualization Software', 'Graph']"
4,Data Analyst | SPSS | STATA | Quantitative and Qualitative Researcher,$45.50/hr,"With over 8 years of extensive experience and a top-rated plus freelancer badge, I am a full-time research and data analyst offering specialized independent services to individuals and companies alike. My expertise spans a broad spectrum of domains, including:

1. Research Methodology Design: I excel in crafting and justifying robust research methodologies tailored to the unique requirements of each project, ensuring methodological rigor and validity. It includes designing and validating surveys.

2. Survey Analysis: Utilizing advanced analytical techniques, I delve deep into survey data to extract valuable insights that drive informed decision-making for clients.

3. Statistical Reporting and Analysis: Proficient in multiple statistical software such as SPSS, AMOS, STATA, JASP, GRETL, E-Views, Power BI, R, MS Excel, Minitab, and more, I offer comprehensive statistical reporting and analysis services.

4. Qualitative Analysis: From thematic analysis of interview data to systematic reviews and content analysis, I leverage tools like NVIVO, Word Stat, QDA Miner, MAXQDA, Quirkos, and others to uncover insights from qualitative data.

5. Research Proposal Assistance: I provide invaluable support in crafting and refining research proposals, ensuring alignment with objectives and feasibility.

6. Multi-Domain Research: My expertise extends across various domains, including social sciences, marketing, finance, accounts, economics, and beyond, enabling me to tackle diverse research projects with ease.

7. Market and Business Research: I specialize in conducting comprehensive market and business research, delivering actionable insights to drive strategic decision-making.

8. Literature Reviews: I offer assistance with literature reviews, synthesizing existing research to provide a comprehensive understanding of the current state of knowledge in a given field.

9. Proofreading and Editing: With meticulous attention to detail, I offer proofreading and editing services for dissertations and research papers, ensuring clarity, coherence, and adherence to academic standards. 

In addition to my technical prowess, I possess excellent communication skills that enable me to collaborate effectively with diverse stakeholders and convey complex statistical concepts clearly and concisely.

As a dedicated data analyst, I am passionate about leveraging data to address real-world challenges and positively impact the field of analytics and beyond. Whether you need assistance with research methodology, data analysis, or research proposal development, I am here to help. Feel free to contact me with any questions or project inquiries – I'm committed to delivering exceptional results for your endeavors.",294,"3,555",Karachi,Pakistan,100,"['Business Analysis: SWOT Analysis of Zara', '30 minute consultation', 'Results, Discussion and Conclusion and data provided', 'Data Analyst for Global Country-Level Data Matching and Analysis \n            -\n            \n              Upwork enterprise client', 'SPSS Analysis - Need Help with Survey Analysis', 'Psychometric Consultation', 'ESG & US REITs', 'Analyse validity of a quantitative survey scale', 'logit regression', 'Help with data analysis SPSS', '30 minute consultation', 'Quantitative Methodologist Contractor', 'Data Analysis, Cleaning, and Inference', 'Survey', 'Internet research $250', 'Psychometric Consultation Part II', 'AWE Research Project', 'Task 3 Excel', 'Exhibition research and data base  build Global', 'Support with Gem Data Research']","['IBM SPSS', 'EViews', 'Research Proposals', 'Stata', 'Quantitative Analysis', 'Hypothesis Testing', 'Quantitative Research', 'Qualitative Research', 'Research Papers', 'Logistic Regression', 'Internet Survey']"
5,Data Analyst/Data Scientist,$20.00/hr,"I am a dedicated data analyst and research scientist with over 6 years of freelancing experience, specializing in transforming raw data into valuable insights.  My journey has been fueled by passion for unravelling complex datasets and deriving actionable conclusions. 


Key Expertise:
✅    Machine learning: expertise in employing cutting-edge machine learning algorithms to uncover patterns within intricate datasets.

✅    Data Analysis: Proficiency in utilizing an array of statistical software, including Python (Jupyter Notebook), R (RStudio), STATA, SPSS, JASP, Jamovi, Minitab, and MS Excel for comprehensive data analysis.

✅    Web Scraping: Profound expertise in data scrapping using Python’s robust libraries, such as Beautiful Soup and Selenium, ensures precise and efficient collection from diverse online sources.

✅    Statistical Techniques: mastery of various statistical tests such as regression, correlation, ANOVA, t-test, Chi-square test, MANOVA, binomial tests, logistic regression, T-test, and non-parametric tests.

✅    Data Cleaning and Transformation: Specialized in data entry data cleaning by removing missing values and duplicates and transforming data to enhance reliability.

✅    Data Visualization: Proficient in performing data visualizations using statistical software such as R (ggplot2), Python (Matplotlib and Seaborn), PowerBI, Excel (Dashboards), SPSS, etc.

✅    Interpretation: skilled at interpreting quantitative and qualitative data and results, providing insightful analysis and actionable recommendations.

✅   Statistical Software Skills: Python, R, STATA, SPSS, JASP, Jamovi, Minitab, Ms Excel, etc

✅    Data Visualization Tools: R using ggplot2 library, Python using Matplotlib and Seaborn libraries, PpwerBI, Excel, SPSS, Jamovi, Minitab, etc.
✅	All features in the Basic Package.
✅	Expanded email list (up to 1000 contacts).
✅	Advanced email sequence creation.
✅	A/B testing for optimization.
✅	Detailed performance analysis. 
✅All features in the Standard Package.
✅	Comprehensive email list (up to 2000 contacts).
✅Lead Generation
✅	Data Entry
✅	In-depth performance reporting and strategy consultation.


✅    Why collaborate with me?

🌐 Versatility: Proficient in handling diverse statistical challenges across various industries.

🚀 Efficiency: Ensuring accurate and timely results to meet project deadlines effectively.

🤝 Collaboration: Open to communication and collaboration to understand your unique requirements and deliver quality solutions.",253,238,Nairobi,Kenya,92,"['Data analyse', 'Quantitative analysis', 'DataViz replication from Excel to Tableau Software', 'Exporting data from R to Word in specific format', 'Fix powerpoint', 'Data Visualization Project', 'Data Scientist', 'work', 'Fix powerpoint', 'PUURA water contamination analysis', 'Forcasting Time Series Data', 'HubSpot Data Update Specialist Needed', 'Data Analyst', 'ED-22995193766-Looking an Expert for Data Science( Artificial intelligence)-Write up', 'Agriculture Data Collection', 'Prepare ppt presentation', 'BE-22863736939-Need an Expert for Networking Communication-Write-Up', 'PE-22678933798- Need a Machine learning Expert  for research- write-up', 'PE-22281490099-Need an Expert in Cloud Computing-Write-Up', 'Industry Analysis']","['Microsoft Excel', 'Data Entry', 'IBM SPSS', 'R', 'Minitab', 'Quantitative Analysis', 'Python Hypothesis', 'Qualitative Research', 'Data Analysis', 'Statistics', 'Data Scraping', 'B2B Marketing', 'HubSpot', 'Machine Learning Algorithm', 'Lead Generation Analysis']"
6,Excel Expert | Google Sheet Expert | Data Analyst,$20.00/hr,"🚀 Skilled in Excel and Data Analysis, Ready to Enhance Your Projects! 🚀

Greetings! With over 10 years of dedicated experience in creating, designing, fixing, and editing Excel documents, I stand as a highly skilled Excel expert ready to bring excellence to your projects.

Why Collaborate With Me?

✨ Excel Mastery: As an Excel aficionado, I specialize in harnessing the full potential of Excel, showcasing proficiency in crafting intricate spreadsheets, conducting comprehensive data analysis, and generating dynamic reporting. My keen eye for detail ensures accurate calculations through the implementation of complex formulas, ultimately leading to streamlined processes.

✨ Visual Excellence: Elevate your data presentation with visually appealing dashboards, scorecards, and executive summaries. I possess the expertise to create compelling visualizations that effectively convey insights.

✨ Advanced Capabilities: Whether it's handling advanced calculations, Pivot Tables, or financial reporting/analysis, I have a proven track record of delivering top-notch results.

✨ Data Manipulation and Automation: I excel in processing, manipulating, and analyzing large sets of data, bringing efficiency through automation and meticulous data handling.

✨ Formatting Prodigy: Making things look good is an art, and I've mastered it. I ensure that your data is not only accurate but also presented in an aesthetically pleasing manner, guiding users to the key data points effortlessly.

🔍 Advanced Formulas: From VLOOKUP to INDEX/MATCH to SUMIFS and beyond, I've got a treasure trove of formula magic.

📊 Pivot Tables & Data Analysis: I'll whip your data into shape and unveil its secrets through insightful analysis and dynamic pivot tables.

🤖 Macros & VBA: Say goodbye to repetitive tasks—I'll automate them with slick VBA scripting, saving you precious time and boosting efficiency.

📈 Data Visualization & Dashboards: I craft visually stunning dashboards that don't just look good but also drive actionable insights.

🧹 Data Cleaning & Organization: Let's declutter your data together and create a harmonious, well-organized oasis of information.

🔧 Custom Excel Functions: When off-the-shelf won't cut it, I'll tailor-make functions to suit your unique needs.

*Professional Services Offered:*
Dashboards, Scorecards, and Executive Summaries
Advanced Calculations and Pivot Tables
Financial Reporting/Analysis
Processing, Manipulating, and Analyzing Large Sets of Data
Formatting: Transforming Data into Visually Appealing Presentations

Additional Skills:
Data Entry
Data Visualization
Data Scraping
Google Sheets and Slides Expert
Excel Formulas and Pivot Tables
E-commerce Specialist

Why Choose Me?

I am dedicated to ensuring 100% satisfaction, with a commitment to delivering high-quality results. As a fast learner, I am open to new opportunities and am ready to collaborate with you to build a long-term professional relationship.

Let's take your projects to new heights by leveraging the versatility of Excel and my expertise. Connect with me, and let's make excellence a standard in your endeavors! 🚀",279,"2,329",Udaipur,India,96,"['Data Entry and Data processing expert', 'Data Specialist Needed for Project v lookup', 'Google Sheets Dashboard - Add Dynamic Visualization Tab for Academic Assessment Data', '60 minute consultation', 'Excel programming expert needed', 'Quick Conversion PDF to Excel / CSV file', 'Excel file to make payslips every friday', 'End of day report', 'Create a professional looking report from an excel', 'Create Excel spreadsheet formula', 'excel-Vlookup basic take', 'Joing a list on excel', 'Sales and marketing KPI Reporting', 'Excel', 'Data Cleanup and Analytics', 'Data scrapping', 'Joing a list on excel', 'Data Visualization Expert Needed for Google Sheets Graphs', 'Excel Dataset Cleaning', 'Clean up Excel Datasheet']","['Data Entry', 'Copy & Paste', 'Microsoft Excel', 'Spreadsheet Software', 'Google Sheets', 'Data Analysis', 'Google Forms', 'Google Docs', 'Data Visualization', 'Excel Formula', 'Microsoft Word', 'ChatGPT', 'Virtual Assistance', 'Presentations', 'Data Cleaning']"
7,Excel Expert | Data Analyst | Google Sheets Expert,$20.00/hr,"✅ EXPERT DATA ANALYST
✅ EXCEL & GOOGLE SHEETS AUTOMATION 
✅200+ SATISFIED CLIENTS ON UPWORK 
✅ 6+ YEARS WORK EXPERIENCE
I am a full time freelancer with excellent knowledge of MS Excel, Google Sheets & Looker Studio and ready to assist you in relevant tasks. I can help you with any kind of work related to VBA and appscript. 
✅My services Include:
➡️ Data Cleaning
➡️ Data Extraction
➡️ Data Transformation
➡️ Data Analysis
➡️ Data Visualisation
➡️ Data Engineering
➡️ Automatic Dashboard in Excel or Google Sheets
➡️ Dashboard or Report creation in Google Data Studio

✅I am expert in following areas of Excel and Google sheets
➡️ Advanced excel and google sheets formulas
➡️ Vlookup, Hloopup, Xlookup, Filter, Query, Importrange etc.
➡️ Automation using Excel Macros (VBA)
➡️ Power Query
➡️ Pivot Tables analysis
➡️ Conditional formatting
➡️ Drop-downs
➡️ Charts and Graphs
➡️ Google Sheets Automation using appscript

✅Some highlighted fields of work:
➡️ Sales data analysis
➡️ Financial forecasting
➡️ Customized Template creation
➡️ Task Automation in Excel or Google Sheets
➡️ Invoice Generation
➡️ Complex data analysis and reporting
➡️ Automatic Dashboard in Excel or Google Sheets

I am proud to provide work of the highest quality and will never complete a project until the client is 100% satisfied. Feel free to contact for any query.",257,884,Islamabad,Pakistan,100,"['Modify an existing Ecom Spreadsheet to create multiple retail product Bundles', 'Sales Dashboard', 'Macro for bar chart from excel source', 'Seeking Freelance Spreadsheet Developer', 'Google sheet refresh', 'Google Sheet Pricing and Project Management Update', 'You will get an Automated Dashboard in Google Sheets or Google Data Studio', '30 minute consultation', '30 minute consultation', '30 minute consultation', 'Nutrition spreadsheet formula update', 'DEKAs Excel Input sheet #1', 'Data analysis of email sends', 'Google Sheet PS Planner', 'Dashboard Template', 'Excel/Google Sheets specialist to create KPI Dashboard', 'Custom Google Sheet for Sales Team', 'excel', 'Purchaser data', 'Company Scorecards on Google Sheets']","['Data Entry', 'Microsoft Power BI', 'Looker Studio', 'Microsoft Excel', 'Excel Macros', 'Data Analytics', 'Data Visualization', 'Data Cleaning', 'Excel Formula', 'Google Sheets Automation', 'Templates', 'Dashboard', 'Google Sheets', 'Invoice', 'Sales Analytics']"
8,"Data Analyst, Statistician, Python & ReactJs Developer",$25.00/hr,"I am an experienced data analyst, business analyst, and Statistician with a proven track record of success in providing valuable insights and driving business growth.

I have a strong background in data analysis, data visualization, and data-driven decision-making. I have experience working with large and complex data sets, utilizing advanced analytics tools and techniques to identify trends, patterns, and opportunities for improvement.

I possess strong skills in business intelligence, including the ability to create and maintain interactive dashboards using Tableau, reports, and other visualizations to help organizations make data-driven decisions. I also have experience in sales analysis, including the ability to analyze sales data, identify key drivers of sales, and make recommendations for improving sales performance.

Highly skilled and dedicated professional with a proven ability to help organizations make better use of their data to drive growth and improve performance.


The services that I offer are:

Data analysis
Data mining and data management.
Data visualization/Dashboarding
Business Intelligence
Statistical Analysis and Modelling
Actuarial Modelling


Tools Used:

• R Studio
• Python
• Advanced Microsoft Excel
• IBM SPSS
• Tableau
• SmartPLS 4.0
• Latex/Overleaf",126,452,Nairobi,Kenya,100,"['Coding Assistant for Web-Based Application (Python/HTML)', 'Python Developer Needed for Quiz Creation Program', 'Improve my existing operational System/Application', 'Data Analysis Expert Needed.', 'Data Analytics', 'data for actual', 'Data Analysis of Scots Pine Productivity', 'Machine Learning Expert Needed for Predictive Model Development (Quick Turnaround)', 'System developer required', 'System developer required', 'Data scientist or analyst for RFM Analysis and Market Basket Analysis  and Price Benchmark Analysis', 'Assistance in Econometrics']","['R', 'Algorithm Development', 'Python', 'IBM SPSS', 'Data Visualization', 'Tableau', 'Data Analysis', 'Microsoft Excel', 'Statistical Analysis', 'Machine Learning', 'Analytics Dashboard', 'Django', 'Flask', 'React', 'JavaScript']"
9,Power BI Data Analyst | Power Query | Power Apps and Automate,$30.00/hr,"I’m your expert navigator, transforming intricate information into clear, actionable insights. My specialty lies in harnessing the power of Power BI to craft compelling visualizations that decode the stories hidden within your data.

Visual Excellence with Power BI:
Imagine your data taking on a new life through vibrant charts, interactive graphs, and intuitive dashboards. My expertise in Power BI empowers me to convert raw data into captivating visuals that resonate with audiences. Whether it's tracking sales trends, analyzing market shifts, or understanding user behavior, my visualizations simplify complexities and lead to informed decisions.

Precision in Analysis:
Digging deeper, I master the art of DAX, I create precise formulas that unravel valuable insights from your data, whether it's calculating growth rates, forecasting trends, or simulating scenarios.

Efficiency Through Power Query:
Clean data is the foundation of accurate analysis. My proficiency in Power Query enables me to efficiently prepare, transform, and merge data from diverse sources. I ensure data hygiene, eliminate redundancies, and structure information for seamless exploration.

Collaborative Approach:
Understanding your unique needs is pivotal. I work closely with you to align data analysis with your objectives. Whether you're an entrepreneur seeking strategic insights or an established enterprise optimizing operations, my adaptable approach tailors analytics to suit your goals.

Why Choose Me:
What sets me apart is my commitment to translating technical data concepts into clear language. I bring a seamless blend of technical expertise and practical understanding, ensuring you're not only informed but also confident in your data-driven choices.",74,"1,073",Alexandria,Egypt,100,"['Power BI', 'Designer of dynamic dashboards and reports', 'Significantly improve the design of Power BI Dashboards', 'Financial dashboard using Power BI', 'Powerbi Dasboard', 'Power bi dashboard', 'Power BI Project', 'Jira service management BI dashboard', 'PowerBI Data Visualization', 'DAX Measures for Power BI Dashboard', 'Power BI', 'Power bi UI design', 'PowerBI Data Visualization', 'PowerBI - Customer Satisfaction Survey Dashboards', 'Power BI dashboard', 'Inhancment dashboard and make more analysis', 'Power BI Developer - Ongoing development for financial reporting.', 'Power BI', 'Power BI Data analysis and visualization', 'PowerBI Maintenance and Updates']","['Microsoft Power BI', 'Business Intelligence', 'Microsoft Power BI Data Visualization', 'Data Modeling', 'Analytics Dashboard', 'Microsoft Power Automate', 'Tableau', 'SQL', 'Supply Chain Modeling', 'Supply Chain Management', 'Presentation Design', 'Excel Macros', 'Microsoft Excel', 'Figma', 'Looker Studio']"
